"Division","Section","Department","Machine","Machine Number","Asset","Job Card No","Complaint","Complaint Category","Priority","Technician","Maintenance Type","Waiting Time","Working Time","Downtime","Approval Status","Current Status","Open Date","Close Date"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000001","The button is not working.","Electrical Failure","Medium","ARIF, ARSALAN, MEHMOUD","Breakdown Maintenance","12m","57m","1h 9m","Approved","APPROVED","2026-07-07T19:37:22.574Z","2026-07-07T20:47:21.398Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000002","The button is not working.","Mechanical Failure","Low","ARIF, ARSALAN, MEHMOUD","Breakdown Maintenance","51m","39m","1h 30m","Approved","APPROVED","2026-07-07T19:39:34.194Z","2026-07-07T21:10:39.138Z"
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000003","The button is not working.","Software Issue","Medium","ARIF, ARSALAN, MEHMOUD","Breakdown Maintenance","57m","5d 19h 32m","5d 20h 29m","Approved","APPROVED","2026-07-07T19:40:56.128Z","2026-07-13T11:11:16.000Z"
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000004","The button is not working.","Mechanical Failure","Medium","ARIF, ASHRAF","Breakdown Maintenance","4h 53m","36m","5h 29m","Approved","APPROVED","2026-07-07T19:46:29.789Z","2026-07-08T01:16:28.224Z"
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000005","ddd","Mechanical Failure","Medium","ARIF","Breakdown Maintenance","5d 14h 48m","8h 3m","5d 22h 51m","Approved","APPROVED","2026-07-07T23:06:25.154Z","2026-07-13T16:58:17.000Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000006","AAAAAAA","Electrical Failure","Medium","JAVED","Breakdown Maintenance","5d 16h 10m","3d 18h 26m","9d 10h 36m","Approved","APPROVED","2026-07-07T23:50:46.779Z","2026-07-17T08:26:59.330Z"
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000007","LLL","Electrical Failure","Medium","ARSALAN","Breakdown Maintenance","5d 2h 46m","3d 17h 54m","8d 20h 40m","Approved","APPROVED","2026-07-08T06:48:22.000Z","2026-07-17T08:29:30.295Z"
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000008","AAAAAA","Mechanical Failure","Medium","ARIF","Breakdown Maintenance","4d 23h 42m","9d 1h 58m","14d 1h 41m","Approved","APPROVED","2026-07-08T10:24:35.000Z","2026-07-22T12:06:00.000Z"
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000009","AAAA","Mechanical Failure","Medium","ARSALAN","Breakdown Maintenance","5d 0h 22m","9d 0h 25m","14d 0h 47m","Approved","APPROVED","2026-07-08T10:58:50.000Z","2026-07-22T12:07:10.000Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000010","ASAS","Electrical Failure","Medium","ARSALAN","Preventive Maintenance","5d 0h 24m","9d 5h 53m","14d 6h 18m","Approved","APPROVED","2026-07-08T11:11:58.000Z","2026-07-22T17:30:34.000Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000011","DD","Mechanical Failure","Medium","MOEES","Breakdown Maintenance","3d 23h 27m","14d 23h 58m","18d 23h 25m","Approved","PENDING","2026-07-09T12:20:22.000Z","2026-07-28T07:46:14.000Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000012","kj","Mechanical Failure","Medium","ARIF","Breakdown Electrical","10h 27m","10d 3h 9m","10d 13h 36m","Approved","APPROVED","2026-07-13T05:21:09.000Z","2026-07-23T18:57:14.000Z"
